CORTE,MODELO,TALLAS,PIEZAS,URL_IMG
CLOUD COLOMBIANO ,CCE23005,7 - 17 ,,
CLOUD COLOMBIANO ,CCE23009,7 - 17 ,,
CLOUD COLOMBIANO ,CCE23012A,7 - 17 ,,
CLOUD COLOMBIANO ,CCE2301B,7 - 17 ,,
CLOUD COLOMBIANO ,CCE23013 ,7 - 17 ,,
CLOUD COLOMBIANO ,CCE23015,7 - 17 ,,
CLOUD COLOMBIANO ,CCE23085,7 - 17 ,,
CLOUD COLOMBIANO ,CCE23095,7 - 17 ,,
CLOUD PLUS ,CX2055 -PBB,14 - 22,,
CLOUD PLUS ,CX2042-P,14 - 22,,
CLOUD PLUS ,CX2044-P,14 - 22,,
CLOUD PLUS ,CX2058- PBB,14 - 22,,
CLOUD PLUS ,CX2053-PBB,14 - 22,,
CLOUD PLUS ,CX2059 - PBB,14 - 22,,
SKINNY CLOUD JUVENILES ,CX338 ,1 - 15,,
SKINNY CLOUD JUVENILES ,CX132,1 - 15,,
SKINNY CLOUD JUVENILES ,C4010,1 - 15,,
SKINNY CLOUD JUVENILES ,CL4104,1 - 15,,
SKINNY CLOUD JUVENILES ,CL4063,1 - 15,,
SKINNY CLOUD JUVENILES ,CL4022,1 - 15,,
SKINNY CLOUD JUVENILES ,CG0035,1 - 15,,
SKINNY CLOUD JUVENILES ,CL4014,1 - 15,,
SKINNY CLOUD JUVENILES ,CG0031,1 - 15,,
SKINNY CLOUD JUVENILES ,CG0029,1 - 15,,
SKINNY CLOUD JUVENILES ,CG0021,1 - 15,,
CLOUD BB Y FLARE JUVENILES,CX200 -F,1 - 15,,
CLOUD BB Y FLARE JUVENILES,CX 1992 - F,1 - 15,,
CLOUD BB Y FLARE JUVENILES,CX1998 -F,1 - 15,,
CLOUD BB Y FLARE JUVENILES,CX1732 - BB,1 - 15,,
CLOUD BB Y FLARE JUVENILES,CX1836 - BB,1 - 15,,
CLOUD BB Y FLARE JUVENILES,CX1925- BB,1 - 15,,
KIU JEANS,KIU 270042,1  - 11,,
KOKO SKINNY ESPECIALES,KOE2170BK,7 - 17,,
KOKO SKINNY ESPECIALES,KOE2170DK2,7 - 17,,
KOKO SKINNY ESPECIALES,KOE2170DK10,7 - 17,,
KOKO SKINNY ESPECIALES,KOE2171DD313,7 - 17,,
KOKO SKINNY ESPECIALES,KOE2171DK10,7 - 17,,
KOKO SKINNY ESPECIALES,KOE2172DK4,7 - 17,,
KOKO SKINNY ESPECIALES,KOE2172MD4,7 - 17,,
KOKO SKINNY ESPECIALES,KOE2173DK4,7 - 17,,
KOKO SKINNY ESPECIALES,KOE2173DV1,7 - 17,,
