IdImage,Marca,Corte,Modelo,Tipo de Paquete
1ZUdXzNs0F4TSzUEFajLs1ri7E50ixuCQ,CLOUD,SKINNY,CX1867,CAJA
1PGxj-9lWT99rbT8bIaPCzsD5hEzlrk4Z,CLOUD,SKINNY,CL4036,CAJA
1nD_FzFgU4NTEpX18lbGCjmxWRSi4S8Pb,CLOUD,STRAIGHT,CX1711,CAJA
1dMSKv9WE5Im5oI5kF5REA0CeJy7MKe8i,CLOUD,STRAIGHT,CX1334-S,CAJA
1WC7zv9uDAkvnwV9PMZ5nfqda2DEX4Bos,CLOUD,SKINNY,CL4074,CAJA
1VSWuEX7ATsCV5XXb5YeJANdgfxJqZ6MZ,CLOUD,SKINNY,CL4065,CAJA
1JOpqebWkMByEhPm9l1ur7nqyqI94z50q,KOKO_PREMIUM,BABY_BOOT,KO3140BB,CAJA
1p48oeBIdmaj2UpqGwzePEWPCgsFvqJsT,KOKO_PREMIUM,BABY_BOOT,KO3171BB,CAJA
1Rg6SpzeCGgVGNhKICfjno-ycldjvohtY,KOKO_PREMIUM,BABY_BOOT,KO3143BB,CAJA
1ctrsHQsF1MaPnYeY_vRFLpvx8hOHlKnG,KOKO_PREMIUM,BABY_BOOT,KO3141BB,CAJA
10KcovBu7zhdZv7zKMResjomWO8Hve37F,KOKO_PREMIUM,BABY_BOOT,KO3142BB,CAJA
1CTrdqTi0TaEIOkWz7FX38Fk92bedWMmr,KOKO_PREMIUM,BABY_BOOT,KO3139BB,CAJA
1CkoTHzZojAXM83Ug4e06Sq7_7eW3Ljn5,KOKO_PREMIUM,BABY_BOOT,KO3138BB,CAJA
1jcBdBde29E71dkQvs-xHoedSYsNWDE-t,KOKO_PREMIUM,BABY_BOOT,KO3134BB,CAJA
1myEnPezeD_-cyHZSqgAhAv1RRPD_2eOB,KOKO_PREMIUM,BABY_BOOT,KO3136BB,CAJA
1WXbGtEqsU4djpEkBDjJBpGINh1m8xUMY,KOKO_PREMIUM,BABY_BOOT,KO3130,CAJA
1m8o4GMcL5fNRRFg_2ZhpvqA-EpRz1CkS,KOKO_PREMIUM,BABY_BOOT,KO3126BB,CAJA
1AwdMU8ZIl6BK8tLsjA1Mu6tkAKrr2EcS,KOKO_PREMIUM,BABY_BOOT,KO3124BB,CAJA
1oRr21losdE9Uy3eoHyz6XiUkRtIHD5CZ,KOKO_PREMIUM,BABY_BOOT,KO3121BB,CAJA
1uThsCk91NTzg89L9nQPhdi2JnW1eW7bB,KOKO_PREMIUM,BABY_BOOT,KO3118BB,CAJA
1FxcXnYy-YhMkIjrYyZefDHfM-QZFmHx5,KOKO_PREMIUM,BABY_BOOT,KO3119BB,CAJA
12Oac3WW2rcraol3TwR4k1u7ysVmgFsUf,KOKO_PREMIUM,BABY_BOOT,KO3115BB,CAJA
1OadQ2gzLNd9UUQPJuJu1JeAPw900d_UI,KOKO_PREMIUM,BABY_BOOT,KO3111BB,CAJA
1l9E7CekPH_tfATYk0ccVu4v6cg-TlMBi,KOKO_PREMIUM,BABY_BOOT,KO3129BB,CAJA
1nbBQeQ4eYQiPmolwNFF4JuQxCjAS5bou,KOKO_PLUS,WIDE_LEG,KP131-PW,CAJA
1tKxz6UbXxt4rVZsllMRGIxfVkm7p10vB,KOKO_PLUS,SKINNY,KP145-P,CAJA
1kYph7waUlpkbSh2p-JTqi19t8BuZAxYt,KOKO_PLUS,WIDE_LEG,KP130-PW,CAJA
1_0aQuwUTl3g_zQq2ONUawhU0Kz1Gq-yq,KOKO_PLUS,SKINNY,KP146-P,CAJA
1dZG03Qr7MVbz_n5PpnbQR7JWFL4ijgmZ,KOKO_PLUS,SKINNY,KP144-P,CAJA
